RU;75;1552;TransparentCalls;0.69;596;25;50
US;17;759;E-Voice;0.94;610;21;32
GB;57;960;TransparentCalls;0.82;685;24;26
FR;39;344;TransparentCalls;0.88;655;38;26
BL;96;1674;E-Voice;0.69;130;63;3
AT;26;1747;TransparentCalls;0.71;876;27;8
BG;4;1277;E-Voice;0.75;103;44;42
DK;22;567;JustPhone;0.88;809;87;13
CA;88;1610;JustPhone;0.75;392;56;36
ES;39;1460;E-Voice;0.86;752;67;29
CH;16;114;JustPhone;0.63;42;53;24
TR;17;890;TransparentCalls;0.72;60;55;23
PE;35;1662;JustPhone;0.84;280;83;12
NZ;75;1288;JustPhone;0.77;206;21;42
MC;41;851;E-Voice;0.98;797;53;54
